2024-05-23 16:36:01,653 DEBUG:Logger has been configured and this is a test message.
2024-05-23 16:36:01,774 INFO:ROS node initialized.
2024-05-23 16:36:01,806 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:01,807 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:01,807 INFO:Class detected: car, with confidence: 0.78
2024-05-23 16:36:01,807 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:01,807 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:01,807 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:01,807 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:01,807 INFO:Class detected: car, with confidence: 0.65
2024-05-23 16:36:01,807 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:01,807 INFO:Class detected: car, with confidence: 0.41
2024-05-23 16:36:01,808 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:01,808 INFO:Class detected: car, with confidence: 0.27
2024-05-23 16:36:01,808 INFO:Class detected: car, with confidence: 0.26
2024-05-23 16:36:01,810 INFO:Published 'not pass' message.
2024-05-23 16:36:01,917 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:01,917 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:01,917 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:01,917 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:01,917 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:01,917 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:01,917 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:01,918 INFO:Class detected: car, with confidence: 0.68
2024-05-23 16:36:01,918 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:01,918 INFO:Class detected: car, with confidence: 0.41
2024-05-23 16:36:01,918 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:01,918 INFO:Class detected: car, with confidence: 0.27
2024-05-23 16:36:01,923 INFO:Published 'not pass' message.
2024-05-23 16:36:02,018 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:02,018 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:02,018 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,018 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,018 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:02,019 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:02,019 INFO:Class detected: car, with confidence: 0.71
2024-05-23 16:36:02,019 INFO:Class detected: car, with confidence: 0.68
2024-05-23 16:36:02,019 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:02,019 INFO:Class detected: car, with confidence: 0.41
2024-05-23 16:36:02,019 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:02,019 INFO:Class detected: car, with confidence: 0.28
2024-05-23 16:36:02,024 INFO:Published 'not pass' message.
2024-05-23 16:36:02,087 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:02,087 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:02,087 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,087 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,087 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:02,087 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:02,087 INFO:Class detected: car, with confidence: 0.7
2024-05-23 16:36:02,087 INFO:Class detected: car, with confidence: 0.7
2024-05-23 16:36:02,087 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:02,087 INFO:Class detected: car, with confidence: 0.41
2024-05-23 16:36:02,087 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:02,087 INFO:Class detected: car, with confidence: 0.28
2024-05-23 16:36:02,088 INFO:Class detected: car, with confidence: 0.25
2024-05-23 16:36:02,093 INFO:Published 'not pass' message.
2024-05-23 16:36:02,141 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:02,141 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:02,141 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,141 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,141 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:02,141 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:02,141 INFO:Class detected: car, with confidence: 0.71
2024-05-23 16:36:02,142 INFO:Class detected: car, with confidence: 0.65
2024-05-23 16:36:02,142 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:02,142 INFO:Class detected: car, with confidence: 0.41
2024-05-23 16:36:02,142 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:02,142 INFO:Class detected: car, with confidence: 0.28
2024-05-23 16:36:02,142 INFO:Class detected: car, with confidence: 0.26
2024-05-23 16:36:02,147 INFO:Published 'not pass' message.
2024-05-23 16:36:02,247 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:02,247 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:02,247 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,247 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,247 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:02,247 INFO:Class detected: car, with confidence: 0.73
2024-05-23 16:36:02,247 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:02,247 INFO:Class detected: car, with confidence: 0.7
2024-05-23 16:36:02,247 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:02,248 INFO:Class detected: car, with confidence: 0.41
2024-05-23 16:36:02,248 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:02,248 INFO:Class detected: car, with confidence: 0.28
2024-05-23 16:36:02,248 INFO:Class detected: car, with confidence: 0.26
2024-05-23 16:36:02,253 INFO:Published 'not pass' message.
2024-05-23 16:36:02,300 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:02,300 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:02,300 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,300 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,300 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:02,300 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:02,300 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:02,301 INFO:Class detected: car, with confidence: 0.7
2024-05-23 16:36:02,301 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:02,301 INFO:Class detected: car, with confidence: 0.41
2024-05-23 16:36:02,301 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:02,301 INFO:Class detected: car, with confidence: 0.28
2024-05-23 16:36:02,306 INFO:Published 'not pass' message.
2024-05-23 16:36:02,415 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:02,415 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:02,415 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,415 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,415 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:02,415 INFO:Class detected: car, with confidence: 0.73
2024-05-23 16:36:02,415 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:02,415 INFO:Class detected: car, with confidence: 0.7
2024-05-23 16:36:02,415 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:02,416 INFO:Class detected: car, with confidence: 0.41
2024-05-23 16:36:02,416 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:02,416 INFO:Class detected: car, with confidence: 0.28
2024-05-23 16:36:02,420 INFO:Published 'not pass' message.
2024-05-23 16:36:02,480 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:02,480 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:02,480 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,480 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,480 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:02,480 INFO:Class detected: car, with confidence: 0.73
2024-05-23 16:36:02,480 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:02,480 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:02,480 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:02,480 INFO:Class detected: car, with confidence: 0.41
2024-05-23 16:36:02,480 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:02,480 INFO:Class detected: car, with confidence: 0.29
2024-05-23 16:36:02,485 INFO:Published 'not pass' message.
2024-05-23 16:36:02,584 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:02,584 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:02,585 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,585 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,585 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:02,585 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:02,585 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:02,585 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:02,585 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:02,585 INFO:Class detected: car, with confidence: 0.41
2024-05-23 16:36:02,585 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:02,585 INFO:Class detected: car, with confidence: 0.28
2024-05-23 16:36:02,590 INFO:Published 'not pass' message.
2024-05-23 16:36:02,636 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:02,636 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:02,636 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,636 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,636 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:02,636 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:02,636 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:02,636 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:02,636 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:02,636 INFO:Class detected: car, with confidence: 0.4
2024-05-23 16:36:02,636 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:02,636 INFO:Class detected: car, with confidence: 0.28
2024-05-23 16:36:02,641 INFO:Published 'not pass' message.
2024-05-23 16:36:02,747 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:02,747 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:02,747 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,748 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:02,748 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:02,748 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:02,748 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:02,748 INFO:Class detected: car, with confidence: 0.71
2024-05-23 16:36:02,748 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:02,748 INFO:Class detected: car, with confidence: 0.4
2024-05-23 16:36:02,748 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:02,748 INFO:Class detected: car, with confidence: 0.28
2024-05-23 16:36:02,748 INFO:Class detected: car, with confidence: 0.26
2024-05-23 16:36:02,753 INFO:Published 'not pass' message.
2024-05-23 16:36:02,808 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:02,808 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:02,808 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,808 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,808 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:02,808 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:02,808 INFO:Class detected: car, with confidence: 0.73
2024-05-23 16:36:02,808 INFO:Class detected: car, with confidence: 0.71
2024-05-23 16:36:02,808 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:02,808 INFO:Class detected: car, with confidence: 0.41
2024-05-23 16:36:02,808 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:02,808 INFO:Class detected: car, with confidence: 0.28
2024-05-23 16:36:02,809 INFO:Class detected: car, with confidence: 0.25
2024-05-23 16:36:02,813 INFO:Published 'not pass' message.
2024-05-23 16:36:02,917 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:02,917 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:02,917 INFO:Class detected: car, with confidence: 0.78
2024-05-23 16:36:02,917 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:02,917 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:02,917 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:02,917 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:02,918 INFO:Class detected: car, with confidence: 0.71
2024-05-23 16:36:02,918 INFO:Class detected: car, with confidence: 0.44
2024-05-23 16:36:02,918 INFO:Class detected: car, with confidence: 0.41
2024-05-23 16:36:02,918 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:02,918 INFO:Class detected: car, with confidence: 0.27
2024-05-23 16:36:02,922 INFO:Published 'not pass' message.
2024-05-23 16:36:02,996 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:02,996 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:02,996 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:02,996 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:02,996 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:02,996 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:02,996 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:02,996 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:02,997 INFO:Class detected: car, with confidence: 0.44
2024-05-23 16:36:02,997 INFO:Class detected: car, with confidence: 0.41
2024-05-23 16:36:02,997 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:02,997 INFO:Class detected: car, with confidence: 0.27
2024-05-23 16:36:02,997 INFO:Class detected: car, with confidence: 0.25
2024-05-23 16:36:03,002 INFO:Published 'not pass' message.
2024-05-23 16:36:03,086 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:03,086 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:03,086 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:03,086 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,086 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:03,086 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:03,087 INFO:Class detected: car, with confidence: 0.73
2024-05-23 16:36:03,087 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:03,087 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:03,087 INFO:Class detected: car, with confidence: 0.41
2024-05-23 16:36:03,087 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:03,087 INFO:Class detected: car, with confidence: 0.27
2024-05-23 16:36:03,091 INFO:Published 'not pass' message.
2024-05-23 16:36:03,144 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:03,144 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:03,145 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:03,145 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,145 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,145 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:03,145 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:03,145 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:03,145 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:03,145 INFO:Class detected: car, with confidence: 0.41
2024-05-23 16:36:03,145 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:03,145 INFO:Class detected: car, with confidence: 0.26
2024-05-23 16:36:03,150 INFO:Published 'not pass' message.
2024-05-23 16:36:03,253 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:03,253 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:03,254 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,254 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,254 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:03,254 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:03,254 INFO:Class detected: car, with confidence: 0.73
2024-05-23 16:36:03,254 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:03,254 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:03,254 INFO:Class detected: car, with confidence: 0.41
2024-05-23 16:36:03,254 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:03,254 INFO:Class detected: car, with confidence: 0.26
2024-05-23 16:36:03,254 INFO:Class detected: car, with confidence: 0.26
2024-05-23 16:36:03,259 INFO:Published 'not pass' message.
2024-05-23 16:36:03,305 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:03,306 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:03,306 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:03,306 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,306 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:03,306 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:03,306 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:03,306 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:03,306 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:03,306 INFO:Class detected: car, with confidence: 0.41
2024-05-23 16:36:03,306 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:03,306 INFO:Class detected: car, with confidence: 0.26
2024-05-23 16:36:03,306 INFO:Class detected: car, with confidence: 0.26
2024-05-23 16:36:03,311 INFO:Published 'not pass' message.
2024-05-23 16:36:03,428 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:03,428 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:03,428 INFO:Class detected: car, with confidence: 0.77
2024-05-23 16:36:03,428 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,428 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:03,428 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:03,428 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:03,429 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:03,429 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:03,429 INFO:Class detected: car, with confidence: 0.4
2024-05-23 16:36:03,429 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:03,429 INFO:Class detected: car, with confidence: 0.26
2024-05-23 16:36:03,429 INFO:Class detected: car, with confidence: 0.25
2024-05-23 16:36:03,434 INFO:Published 'not pass' message.
2024-05-23 16:36:03,485 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:03,485 INFO:Class detected: car, with confidence: 0.89
